"X.1","X","date_time_samp","site","plot_num","treatment","exclosure","paired","longitude","latitude","man_long","man_lat","barcode","siteX","treatmentX","exclosureX","pairedX","plot","cluster","clusterBC","plotBC","factorial","Date","hour","minute","time","season","notes_cluster","number","year","CT1","CT2","CT3","CT4","Ct_detects","positive","cluster_pair","Library_Name","Aphelidiomycota","Ascomycota","Basidiobolomycota","Basidiomycota","Blastocladiomycota","Chytridiomycota","Entorrhizomycota","Glomeromycota","Monoblepharomycota","Mortierellomycota","Mucoromycota","Olpidiomycota","Rozellomycota","unidentified","Unknown","Zoopagomycota"
77,77,"4/20/21 13:47",0,6,1,0,1,-119.7475458,35.11453835,NA,NA,"AC06PE11","C","P","E",1,"C06","C06PE1","C06PE1","C06","PE","4/20/21 13:47",13,47,13.78333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C601","JTMR011DC",0,63108,3,1492,0,144,0,0,0,0,150,0,0,0,1021,0
78,78,"4/20/21 14:51",0,8,0,1,1,-119.729769,35.11306696,NA,NA,"AC08SN11","C","S","N",1,"C08","C08SN1","C08SN1","C08","SN","4/20/21 14:51",14,51,14.85,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C811","JTMR011AH",0,68472,0,1022,0,102,0,1156,0,0,137,0,32,0,381,0
79,79,"4/20/21 15:55",0,7,1,1,1,-119.7328116,35.10880071,NA,NA,"AC07PN11","C","P","N",1,"C07","C07PN1","C07PN1","C07","PN","4/20/21 15:55",15,55,15.91666667,"Spring",NA,NA,NA,37.1,36.87,37.82,NA,3,1,"C711","JTMR010EZ",0,54332,7,5282,0,544,0,6,0,182,34,0,0,4,1116,0
81,81,"4/20/21 16:36",0,7,0,0,1,-119.7322485,35.10831569,NA,NA,"AC07SE11","C","S","E",1,"C07","C07SE1","C07SE1","C07","SE","4/20/21 16:36",16,36,16.6,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C701","JTMR010BK",0,50367,0,5927,0,341,0,142,7,234,22,22,60,15,1468,0
83,83,"4/21/21 10:26",0,2,1,0,1,-119.7226224,35.13081797,NA,NA,"AC02PE11","C","P","E",1,"C02","C02PE1","C02PE1","C02","PE","4/21/21 10:26",10,26,10.43333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C201","JTMR011DK",0,71965,6,1650,0,802,0,0,0,0,2260,0,0,160,406,0
84,84,"4/21/21 11:22",0,4,1,1,1,-119.7242392,35.12222962,NA,NA,"AC04PN11","C","P","N",1,"C04","C04PN1","C04PN1","C04","PN","4/21/21 11:22",11,22,11.36666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C411","JTMR010AZ",3,52134,0,6845,0,937,0,7,9,52,0,4,0,3,1197,0
85,85,"4/21/21 11:30",0,4,0,1,1,-119.7242543,35.12227227,NA,NA,"AC04SN11","C","S","N",1,"C04","C04SN1","C04SN1","C04","SN","4/21/21 11:30",11,30,11.5,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C411","JTMR010AB",0,57549,0,4443,0,314,0,81,0,96,3,16,6,11,649,0
86,86,"4/21/21 13:09",0,10,1,1,1,-119.701232,35.11467272,NA,NA,"AC10PN11","C","P","N",1,"C10","C10PN1","C10PN1","C10","PN","4/21/21 13:09",13,9,13.15,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C1011","JTMR010Y",0,52106,8,9726,0,1682,0,5,8,396,65,0,0,23,1727,0
87,87,"4/21/21 13:18",0,10,0,1,1,-119.7012055,35.1145965,NA,NA,"AC10SN11","C","S","N",1,"C10","C10SN1","C10SN1","C10","SN","4/21/21 13:18",13,18,13.3,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C1011","JTMR011BQ",0,54281,0,1124,0,25,0,404,0,0,8,0,0,15,446,0
91,91,"4/21/21 16:39",1,1,1,1,1,-119.6694763,35.08286182,NA,NA,"AS01PN11","S","P","N",1,"S01","S01PN1","S01PN1","S01","PN","4/21/21 16:39",16,39,16.65,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S111","JTMR010EQ",0,49324,0,5773,0,419,0,0,0,0,0,0,0,92,2996,0
