"X.1","X","date_time_samp","site","plot_num","treatment","exclosure","paired","longitude","latitude","man_long","man_lat","barcode","sample_num","veg_type","veg_level","vwc","period","soil_temp","pH","siteX","treatmentX","exclosureX","pairedX","plot","cluster","clusterBC","plotBC","factorial","veg_type_med","veg_level_med","vwc_med","period_med","soil_temp_med","pH_med","Date","hour","minute","time","season","notes_cluster","number","year","CT1","CT2","CT3","CT4","Ct_detects","positive","cluster_pair","Library_Name","Acarosporales","Acrospermales","Agaricales","Agaricostilbales","Archaeosporales","Atheliales","Auriculariales","Basidiobolales","Boliniales","Botryosphaeriales","Caliciales","Candelariales","Cantharellales","Capnodiales","Chaetosphaeriales","Chaetothyriales","Chytridiales","Coniochaetales","Corticiales","Cystobasidiales","Cystobasidiomycetes_ord_Incertae_sedis","Cystofilobasidiales","Diaporthales","Diversisporales","Dothideales","Dothideomycetes_ord_Incertae_sedis","Entorrhizales","Entylomatales","Erysiphales","Erythrobasidiales","Eurotiales","Filobasidiales","Geastrales","Geminibasidiales","Gigasporales","Glomerales","Glomerellales","GS05","GS11","Harpochytriales","Helotiales","Holtermanniales","Hymenochaetales","Hypocreales","Lecanorales","Leucosporidiales","Lichenostigmatales","Lobulomycetales","Magnaporthales","Melanosporales","Microascales","Microbotryomycetes_ord_Incertae_sedis","Microstromatales","Microthyriales","Mortierellales","Mucorales","Mycocaliciales","Myriangiales","Myrmecridiales","Mytilinidiales","Olpidiales","Onygenales","Orbiliales","Ostropales","Pezizales","Pezizomycotina_ord_Incertae_sedis","Phaeomoniellales","Phomatosporales","Platygloeales","Pleosporales","Polyporales","Rhizophlyctidales","Rhizophydiales","Rhytismatales","Russulales","Saccharomycetales","Sebacinales","Sordariales","Sordariomycetes_ord_Incertae_sedis","Spizellomycetales","Sporidiobolales","Taphrinales","Teloschistales","Thelebolales","Thelephorales","Trechisporales","Tremellales","Tremellodendropsidales","Trichosphaeriales","Trichosporonales","Tubeufiales","Umbelopsidales","unidentified","unspecified_Agaricomycetes","unspecified_Ascomycota","unspecified_Basidiobolomycota","unspecified_Basidiomycota","unspecified_Chytridiomycota","unspecified_Cystobasidiomycetes","unspecified_Dothideomycetes","unspecified_Eurotiomycetes","unspecified_Fungi","unspecified_Glomeromycota","unspecified_Leotiomycetes","unspecified_Microbotryomycetes","unspecified_Orbiliomycetes","unspecified_Sordariomycetes","unspecified_Tremellomycetes","Urocystidales","Ustilaginales","Venturiales","Verrucariales","Wallemiales","Xylariales"
77,77,"4/20/21 13:47",0,6,1,0,1,-119.7475458,35.11453835,NA,NA,"AC06PE11",1,0,0,5.8,1.172,86,NA,"C","P","E",1,"C06","C06PE1","C06PE1","C06","PE",0,0,4.7,1.152,84,NA,"4/20/21 13:47",13,47,13.78333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C601","JTMR011DC",0,0,724,0,0,0,0,0,0,0,0,0,172,2199,0,468,0,295,0,0,0,0,242,0,78,31,0,0,0,0,2418,110,0,0,0,0,146,0,0,0,419,8,0,4166,0,7,26,0,0,0,315,0,0,0,0,150,0,0,0,0,0,418,6,0,8580,0,0,0,0,40462,0,83,25,0,0,0,0,2036,0,24,0,0,0,158,0,0,467,0,0,0,0,0,59,0,389,3,0,12,0,126,0,1021,0,25,0,0,0,0,0,0,0,0,4,46
78,78,"4/20/21 14:51",0,8,0,1,1,-119.729769,35.11306696,NA,NA,"AC08SN11",1,0,0,6.4,1.187,84,NA,"C","S","N",1,"C08","C08SN1","C08SN1","C08","SN",0,0,6.9,1.1975,84,NA,"4/20/21 14:51",14,51,14.85,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C811","JTMR011AH",0,0,227,0,0,0,0,0,0,14,0,0,7,1381,0,1098,0,1081,0,0,0,0,0,39,13,0,0,0,0,0,3002,339,20,0,0,1117,0,0,0,0,3242,22,0,6277,0,35,1291,0,0,0,12,0,0,0,0,137,0,0,0,0,0,206,720,0,2282,0,0,0,0,43737,5,32,8,0,0,5,0,1768,0,10,0,9,0,254,0,0,357,0,0,0,0,0,146,0,1565,0,0,0,0,0,0,381,0,306,0,0,106,0,0,0,0,0,0,51
79,79,"4/20/21 15:55",0,7,1,1,1,-119.7328116,35.10880071,NA,NA,"AC07PN11",1,0,0,NA,NA,77,NA,"C","P","N",1,"C07","C07PN1","C07PN1","C07","PN",0,0,NA,NA,84,NA,"4/20/21 15:55",15,55,15.91666667,"Spring",NA,NA,NA,37.1,36.87,37.82,NA,3,1,"C711","JTMR010EZ",0,0,4816,0,0,0,0,0,0,6,0,0,48,720,0,558,0,495,0,3,0,31,961,6,173,0,0,0,0,0,5075,207,0,0,0,0,30,0,0,0,1402,0,0,270,0,102,0,9,0,0,513,0,0,0,182,34,0,0,0,0,0,1053,165,0,3083,10,0,0,0,26316,0,16,25,0,0,0,0,11868,0,222,0,0,0,534,0,0,72,0,0,0,0,0,288,0,229,7,0,87,0,103,9,1116,0,101,0,0,145,0,0,0,16,0,0,401
81,81,"4/20/21 16:36",0,7,0,0,1,-119.7322485,35.10831569,NA,NA,"AC07SE11",1,1,2,NA,NA,81,NA,"C","S","E",1,"C07","C07SE1","C07SE1","C07","SE",1,3,NA,NA,85,NA,"4/20/21 16:36",16,36,16.6,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C701","JTMR010BK",0,0,4248,4,0,0,0,0,0,94,0,0,5,2139,0,903,20,2173,111,6,0,14,0,10,353,0,0,15,0,0,1568,456,0,0,0,132,3,0,0,7,886,0,0,2933,0,7,1002,0,365,0,66,0,0,0,234,22,0,0,0,0,22,210,626,0,406,0,0,0,0,21892,0,41,23,0,0,0,0,13259,0,111,0,0,0,358,0,0,279,0,0,0,0,0,231,732,423,0,45,0,0,181,0,1468,0,36,0,0,302,0,0,0,0,0,0,184
83,83,"4/21/21 10:26",0,2,1,0,1,-119.7226224,35.13081797,NA,NA,"AC02PE11",1,0,0,NA,NA,66,NA,"C","P","E",1,"C02","C02PE1","C02PE1","C02","PE",1,2,NA,NA,65,NA,"4/21/21 10:26",10,26,10.43333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C201","JTMR011DK",0,0,1059,0,0,0,0,0,0,27,0,0,13,2988,0,844,0,16121,0,25,0,0,0,0,986,0,0,0,0,0,545,143,0,0,0,0,30,0,0,0,807,0,0,1073,0,7,473,0,3,0,58,6,0,0,0,2260,0,0,0,0,0,147,76,0,1082,0,0,0,0,37456,0,319,0,0,0,113,0,8079,16,41,0,0,0,54,0,0,302,95,0,0,0,0,610,0,270,6,0,43,0,0,0,406,0,12,0,0,59,0,0,0,0,0,0,595
84,84,"4/21/21 11:22",0,4,1,1,1,-119.7242392,35.12222962,NA,NA,"AC04PN11",1,1,1,NA,NA,68,NA,"C","P","N",1,"C04","C04PN1","C04PN1","C04","PN",1,1,NA,NA,68,NA,"4/21/21 11:22",11,22,11.36666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C411","JTMR010AZ",0,0,1852,0,0,0,0,0,0,55,0,0,50,2570,0,521,96,184,14,3,0,22,13,0,23,8,0,15,0,0,448,1792,0,0,0,7,16,0,0,9,989,0,0,6696,0,13,39,0,0,0,587,0,0,0,52,0,0,0,0,0,4,328,99,0,5745,0,0,0,0,32135,0,66,16,0,0,0,0,1222,0,366,0,0,0,166,0,0,766,0,0,0,0,0,443,2318,70,0,0,8,0,58,0,1197,0,22,0,0,0,0,0,0,0,0,0,88
85,85,"4/21/21 11:30",0,4,0,1,1,-119.7242543,35.12227227,NA,NA,"AC04SN11",1,1,1,NA,NA,72,NA,"C","S","N",1,"C04","C04SN1","C04SN1","C04","SN",1,1,NA,NA,76,NA,"4/21/21 11:30",11,30,11.5,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C411","JTMR010AB",0,0,465,0,4,0,0,0,0,52,0,0,1090,1857,0,396,0,2264,0,7,0,72,14,0,42,0,0,0,0,0,679,1398,0,0,0,77,0,0,0,0,400,0,0,984,0,14,113,0,0,0,36,0,0,0,96,3,0,0,0,0,16,76,203,0,4912,0,0,0,0,44345,0,16,0,0,0,0,0,515,0,28,0,0,0,83,0,0,618,0,0,0,0,0,354,648,139,0,0,79,0,2,0,649,0,20,0,0,39,0,0,0,0,0,0,363
86,86,"4/21/21 13:09",0,10,1,1,1,-119.701232,35.11467272,NA,NA,"AC10PN11",1,0,0,NA,NA,76,NA,"C","P","N",1,"C10","C10PN1","C10PN1","C10","PN",0,0,NA,NA,76,NA,"4/21/21 13:09",13,9,13.15,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C1011","JTMR010Y",0,0,4202,0,0,0,261,0,0,0,0,0,1787,1580,0,910,3,200,23,0,0,24,0,0,61,0,0,0,0,0,926,2292,0,0,0,5,28,0,0,8,1431,0,0,355,0,40,56,7,0,0,348,0,0,0,396,65,0,0,0,2,0,1512,109,0,4241,17,0,0,0,33864,0,94,29,0,0,0,0,3669,0,466,0,0,0,266,0,0,548,98,0,0,0,0,937,451,601,8,0,228,0,0,0,1727,0,339,0,0,0,0,0,0,639,0,0,893
87,87,"4/21/21 13:18",0,10,0,1,1,-119.7012055,35.1145965,NA,NA,"AC10SN11",1,0,0,NA,NA,86,NA,"C","S","N",1,"C10","C10SN1","C10SN1","C10","SN",0,0,NA,NA,81,NA,"4/21/21 13:18",13,18,13.3,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C1011","JTMR011BQ",0,0,284,0,0,0,115,0,11,0,0,0,0,400,0,1957,0,208,0,0,0,0,0,96,102,0,0,0,0,0,2240,488,0,0,0,308,0,0,0,0,238,0,0,2772,0,35,266,0,0,0,0,0,0,0,0,5,0,0,0,0,0,25,473,0,4054,0,0,0,0,38927,0,8,0,0,0,0,0,937,0,3,0,0,0,220,0,0,202,0,0,0,0,3,29,0,1018,0,0,0,0,6,0,446,0,45,0,0,33,0,0,0,0,0,0,349
91,91,"4/21/21 16:39",1,1,1,1,1,-119.6694763,35.08286182,NA,NA,"AS01PN11",1,0,0,NA,NA,74,NA,"S","P","N",1,"S01","S01PN1","S01PN1","S01","PN",0,0,NA,NA,76,NA,"4/21/21 16:39",16,39,16.65,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S111","JTMR010EQ",0,0,41,0,0,0,0,0,0,0,0,0,14,1158,0,571,0,2737,10,0,0,0,0,0,580,5,0,0,0,0,98,2700,0,0,0,0,25,0,0,0,5869,59,0,1265,0,0,1395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,958,0,0,0,0,32375,0,48,14,0,0,0,0,441,0,56,0,7,0,39,0,0,565,0,0,0,0,0,403,2195,1411,0,33,0,0,18,0,2996,0,28,0,0,0,146,0,0,0,0,0,316
92,92,"4/21/21 16:49",1,1,0,1,1,-119.6695707,35.08290121,NA,NA,"AS01SN11",1,0,0,NA,NA,84,NA,"S","S","N",1,"S01","S01SN1","S01SN1","S01","SN",0,0,NA,NA,83,NA,"4/21/21 16:49",16,49,16.81666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S111","JTMR011CG",0,0,677,0,0,0,13,0,0,25,0,0,0,3014,0,1127,0,6297,0,5,0,0,29,100,519,15,0,0,0,0,215,776,25,0,0,37,0,0,0,0,5372,0,0,289,0,0,1580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,566,0,762,0,0,0,0,31970,0,0,0,0,0,0,0,473,0,6,0,4,0,684,0,0,39,0,0,0,0,0,1192,0,3119,0,0,0,0,4,0,3606,0,4,0,0,44,0,0,0,50,0,0,0
94,94,"4/22/21 8:53",1,5,1,0,1,-119.6807534,35.08219474,NA,NA,"AS05PE11",1,1,2,NA,NA,68,NA,"S","P","E",1,"S05","S05PE1","S05PE1","S05","PE",1,3,NA,NA,65,NA,"4/22/21 8:53",8,53,8.883333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S501","JTMR011S",0,0,594,0,0,0,0,0,0,0,0,0,0,2028,0,16,0,6,0,0,0,0,8,0,36,12,0,0,0,0,1344,144,0,0,0,5,0,0,0,0,1175,28,0,189,0,0,38,0,0,0,494,0,0,0,0,5964,0,0,0,0,0,201,27,0,195,0,0,0,0,6599,0,10,0,0,0,0,0,788,0,6,4,0,3,44625,0,0,141,0,0,0,0,0,7,0,815,0,6,0,0,0,0,776,0,38,0,0,0,0,0,0,0,0,0,14
95,95,"4/22/21 9:49",1,2,1,1,1,-119.6752519,35.08399229,NA,NA,"AS02SN11",1,1,1,NA,NA,65,NA,"S","P","N",1,"S02","S02PN1","S02SN1","S02","PN",0,0,NA,NA,62,NA,"4/22/21 9:49",9,49,9.816666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S211","JTMR010BA",0,0,149,0,0,0,0,0,0,0,0,0,81,313,0,234,0,10,0,0,0,0,0,0,0,0,0,0,0,0,7546,347,0,0,0,8,23,0,0,0,210,0,0,415,0,0,6,0,8,0,5878,0,0,0,172,70,0,0,0,0,0,2211,15,0,2663,8,0,0,0,10838,0,0,0,0,0,0,0,4522,0,55,0,0,0,2663,0,0,209,0,0,0,0,0,267,598,1839,0,0,2,0,0,0,783,0,80,0,0,20,0,0,0,6,0,0,306
96,96,"4/22/21 9:55",1,2,0,1,1,-119.6753931,35.08397755,NA,NA,"AS02PN11",1,1,1,NA,NA,64,NA,"S","S","N",1,"S02","S02SN1","S02PN1","S02","SN",0,1,NA,NA,64,NA,"4/22/21 9:55",9,55,9.916666667,"Spring",NA,NA,NA,NA,34.19,36.24,36.65,3,1,"S211","JTMR010DS",0,0,420,0,0,0,0,0,0,0,0,0,317,178,0,538,16,330,0,0,0,11,0,66,17,0,0,0,0,0,2168,471,0,0,0,282,10,0,0,0,359,0,0,764,0,3,0,0,0,0,285,0,0,0,407,17,0,0,0,0,0,215,0,0,4369,3,0,0,0,21820,0,20,47,0,0,0,0,5521,0,270,0,0,0,272,0,0,359,0,0,0,0,0,216,41,599,0,5,3,0,0,0,3358,0,103,0,0,61,0,0,0,0,0,0,901
101,101,"4/19/21 16:55",1,7,0,0,1,-119.6549475,35.08328973,NA,NA,"AS07SN12",2,1,1,6.4,1.186,91,7,"S","S","E",1,"S07","S07SE1","S07SN1","S07","SE",1,1,6.4,1.186,90,7,"4/19/21 16:55",16,55,16.91666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S701","JTMR010CN",0,0,597,0,0,0,0,0,0,24,0,0,561,865,0,3196,0,2164,0,0,0,0,0,4,101,4,0,0,0,6,1963,1487,8,0,0,1050,0,0,0,21,3703,0,0,344,0,0,331,0,0,0,0,0,0,0,350,0,0,0,0,0,5,40,1225,0,8403,0,0,0,0,24234,0,22,33,0,0,0,0,785,0,317,0,0,0,48,0,0,383,0,0,0,0,0,523,4979,2591,0,62,55,0,168,0,4213,0,1789,0,0,0,64,0,0,0,0,0,3556
102,102,"4/19/21 17:05",1,7,1,0,1,-119.655221,35.06577047,NA,NA,"AS07PE12",2,1,2,5.8,1.171,86,7,"S","P","E",1,"S07","S07PE1","S07PE1","S07","PE",1,1,6.2,1.181,87,7,"4/19/21 17:05",17,5,17.08333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S701","JTMR011EV",0,0,306,41,0,0,0,0,0,102,0,0,33,3785,0,854,0,5704,0,4,0,0,0,8,2191,9,0,0,0,0,2168,345,0,0,0,0,45,0,0,0,6183,0,0,1079,0,0,1777,0,0,0,460,0,0,0,0,0,0,0,0,0,0,216,151,0,3451,0,0,0,0,26790,0,590,0,0,0,0,0,3138,0,124,4,0,0,269,0,0,359,0,11,0,0,0,106,0,649,0,5,74,0,15,0,1537,0,44,0,0,0,0,0,0,0,0,0,9
103,103,"4/19/21 11:10",1,8,1,0,1,-119.6802852,35.05927597,NA,NA,"AS08PE12",2,1,3,7.9,1.215,80,8,"S","P","E",1,"S08","S08PE1","S08PE1","S08","PE",1,3,5.8,1.176,73,8,"4/19/21 11:10",11,10,11.16666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S801","JTMR011C",0,0,650,0,0,0,0,0,0,0,0,0,0,365,0,308,0,6290,0,0,0,0,0,51,12,0,0,0,0,0,564,157,0,7,0,33,0,0,0,0,28577,0,0,52,0,0,286,0,0,0,1025,0,0,0,0,81,0,0,0,0,0,264,94,0,7872,0,0,0,0,15508,0,74,0,0,8,0,0,1570,0,250,0,0,8,115,0,0,74,0,0,0,0,0,95,0,185,0,0,0,0,0,0,575,0,14,0,0,0,0,0,0,0,0,0,146
104,104,"4/19/21 11:39",1,8,0,0,1,-119.6800302,35.0587963,NA,NA,"AS08SE12",2,1,3,9.8,1.251,74,8,"S","S","E",1,"S08","S08SE1","S08SE1","S08","SE",1,3,10.7,1.275,73,8,"4/19/21 11:39",11,39,11.65,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S801","JTMR011CF",0,0,1174,0,0,0,0,0,0,129,0,0,0,5681,0,1272,0,2692,0,0,0,0,0,93,391,0,0,0,0,0,1799,0,0,0,0,774,7,0,0,0,1493,0,0,287,0,0,3785,0,348,0,0,0,0,0,0,16,0,0,0,0,0,110,287,0,3081,0,0,0,0,36054,0,81,0,0,0,0,0,1383,0,22,0,0,0,0,0,0,1078,0,0,0,0,0,519,11,363,0,0,19,0,256,0,438,0,19,0,0,91,0,0,0,0,0,0,330
106,106,"4/19/21 14:38",1,10,0,0,1,-119.480762,34.98586131,NA,NA,"AS10SE12",2,0,0,4.7,1.154,91,NA,"S","S","E",1,"S10","S10SE1","S10SE1","S10","SE",0,0,4.7,1.154,95,NA,"4/19/21 14:38",14,38,14.63333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S1001","JTMR010EA",0,0,710,0,0,0,0,0,0,0,0,0,57,220,0,527,0,681,0,0,0,0,0,0,24,0,0,0,0,0,1323,437,0,0,0,57,0,0,0,0,6837,0,0,43,0,0,90,0,0,0,0,0,0,0,68,0,0,0,0,0,0,13,51,0,1983,0,0,0,0,20463,0,8,10,0,0,0,0,2515,0,125,0,0,0,0,0,0,69,0,0,0,0,0,81,720,871,0,0,0,0,0,0,797,0,48,0,0,43,313,7,0,0,0,0,50
109,109,"4/19/21 14:08",1,10,1,1,1,-119.6921527,35.06498,NA,NA,"AS10PN12",2,2,1,4.2,1.146,8,NA,"S","P","N",1,"S10","S10PN1","S10PN1","S10","PN",2,1,5.3,1.171,80,NA,"4/19/21 14:08",14,8,14.13333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S1011","JTMR011BW",0,0,2008,0,0,0,0,0,0,29,0,0,48,1073,0,856,0,354,0,0,0,0,9,0,22,0,0,0,0,0,17983,364,0,0,0,0,44,0,0,0,494,0,0,643,0,0,2,0,0,0,186,0,0,0,0,256,0,0,0,0,0,315,88,0,483,0,0,0,0,19137,0,14,0,0,0,21,0,2563,0,124,0,0,0,1541,0,0,128,0,0,0,0,0,48,0,496,0,21,9,0,0,29,1431,0,0,0,0,66,0,0,0,2,0,0,503
110,110,"4/19/21 14:26",1,10,0,1,1,-119.6921896,35.06494627,NA,NA,"AS10SN12",2,2,1,7.7,1.214,79,NA,"S","S","N",1,"S10","S10SN1","S10SN1","S10","SN",2,1,6.9,1.202,81,NA,"4/19/21 14:26",14,26,14.43333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S1011","JTMR010EL",0,0,254,0,0,0,0,0,0,26,0,0,0,2478,0,587,34,160,0,0,0,0,0,50,4,25,0,0,0,0,2915,1027,0,0,0,331,0,0,0,0,640,0,0,748,0,0,137,0,0,0,5,0,0,0,25,0,0,0,0,0,17,0,408,0,418,0,0,0,0,31065,0,167,0,0,0,0,0,946,0,275,0,0,0,24,0,0,57,0,0,0,0,0,538,0,1821,0,0,0,0,5,0,1762,41,0,0,0,185,0,1088,0,0,0,0,501
111,111,"4/19/21 12:34",1,9,1,1,1,-119.6857639,35.06167467,NA,NA,"AS09PN12",2,1,2,3.6,1.131,88,NA,"S","P","N",1,"S09","S09PN1","S09PN1","S09","PN",1,2,2.9,1.116,89,NA,"4/19/21 12:34",12,34,12.56666667,"Spring",NA,NA,NA,34.57,36.27,NA,NA,2,0,"S911","JTMR010CB",0,0,407,0,0,0,0,0,0,42,0,0,46,2063,0,994,0,1179,0,0,0,0,2,0,60,93,0,0,3,0,4893,580,13,0,0,58,38,0,0,25,2218,0,2,1735,0,0,64,0,0,0,2591,0,0,0,2019,47,0,0,0,0,4,3156,641,0,2911,6,0,0,0,10161,0,253,57,0,0,0,0,4775,0,636,8,0,0,2247,0,0,49,0,9,0,0,0,661,1489,869,0,0,33,0,0,0,6788,0,165,0,0,158,0,0,0,24,0,0,228
112,112,"4/19/21 12:49",1,9,0,1,1,-119.6858767,35.06172396,NA,NA,"AS09SN12",2,1,1,5.3,1.166,73,NA,"S","S","N",1,"S09","S09SN1","S09SN1","S09","SN",1,1,4.9,1.162,76,NA,"4/19/21 12:49",12,49,12.81666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S911","JTMR010FD",0,0,1299,0,0,0,14,0,0,0,0,0,112,322,0,1373,0,881,178,0,0,11,0,0,0,28,0,0,0,0,2310,562,0,0,0,103,16,0,0,7,1022,0,0,224,0,0,0,0,0,0,1760,0,0,0,557,83,0,0,0,0,122,1442,164,0,2769,0,0,0,0,12772,0,42,22,0,0,0,0,3905,0,273,0,0,0,1172,0,0,111,0,0,0,0,0,568,0,557,10,0,32,0,0,0,2158,0,84,0,0,57,0,0,0,0,0,0,233
113,113,"4/19/21 12:59",1,9,1,0,1,-119.6859942,35.06130704,NA,NA,"AS09PE12",2,1,2,3.5,1.129,73,NA,"S","P","E",1,"S09","S09PE1","S09PE1","S09","PE",1,2,2.9,1.117,73,NA,"4/19/21 12:59",12,59,12.98333333,"Spring",NA,NA,NA,32.27,33.37,33.12,33.41,4,1,"S901","JTMR010EC",0,0,3010,0,8,0,0,0,0,3,0,0,0,1087,0,4330,181,7975,0,9,0,15,225,0,88,58,0,0,0,0,5031,881,0,0,0,117,1825,0,0,26,1559,3,0,3403,0,45,41,0,20,0,42,0,0,0,1556,215,0,0,0,0,46,570,1276,0,1647,0,0,0,0,17067,11,43,17,0,0,11,0,5248,0,278,0,0,0,54,0,0,869,0,0,0,0,0,430,0,673,0,0,199,0,0,0,878,0,33,0,0,517,18,0,0,22,0,0,1434
114,114,"4/19/21 13:07",1,9,0,0,1,-119.6860301,35.06126718,NA,NA,"AS09SE12",2,1,2,6.7,1.194,80,NA,"S","S","E",1,"S09","S09SE1","S09SE1","S09","SE",1,2,6.3,1.19,80,NA,"4/19/21 13:07",13,7,13.11666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S901","JTMR010DC",0,0,1251,0,0,0,0,0,0,0,0,0,383,318,0,4093,0,3775,0,0,0,0,0,0,64,0,0,0,0,0,9765,686,11,0,0,1449,0,0,0,31,1248,0,0,917,0,4,87,0,21,0,0,0,0,0,1704,104,0,0,0,0,41,1686,1780,0,5576,0,0,0,0,23200,0,11,8,0,0,0,0,2855,0,409,0,0,0,97,0,0,54,0,0,0,0,0,55,257,805,0,11,0,0,110,0,1710,0,0,0,0,58,0,0,0,23,0,0,483
116,116,"4/19/21 10:20",1,8,1,1,1,-119.6803251,35.05925036,NA,NA,"AS08PN12",2,2,1,5.4,1.171,73,9,"S","P","N",1,"S08","S08PN1","S08PN1","S08","PN",2,1,4.4,1.149,77,9,"4/19/21 10:20",10,20,10.33333333,"Spring",NA,NA,NA,36.56,36.02,36.99,36.33,4,1,"S811","JTMR010FA",0,0,40,0,0,0,68,0,0,38,0,0,245,4807,0,381,0,27,0,0,4,0,0,0,61,25,4,0,0,0,1408,2662,0,57,0,7,126,0,0,0,125,0,0,633,0,0,45,5,0,0,611,0,0,0,196,43,0,0,0,0,0,517,28,0,2213,0,0,0,0,38307,0,476,6,0,0,0,0,3636,0,532,0,0,0,462,0,0,941,0,0,0,0,0,253,0,427,0,0,13,0,16,0,918,0,66,0,0,8,28,0,0,13,0,0,8718
117,117,"4/19/21 10:42",1,8,0,1,1,-119.6803061,35.0592554,NA,NA,"AS08SN12",2,1,1,5.3,1.169,74,8,"S","S","N",1,"S08","S08SN1","S08SN1","S08","SN",1,1,5.3,1.169,73,8,"4/19/21 10:42",10,42,10.7,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S811","JTMR010BT",0,0,788,0,0,0,0,0,0,228,0,0,74,953,0,775,44,603,0,0,0,0,0,14,39,0,0,0,0,0,2126,486,0,41,0,440,0,0,0,0,79,0,0,1141,0,14,716,0,0,0,2192,0,0,0,284,78,0,0,0,0,0,378,131,0,3692,0,0,0,0,25671,0,107,0,0,0,0,0,795,0,89,0,0,0,79,0,0,150,0,0,0,0,0,429,0,482,0,4,35,0,22,0,1636,0,0,0,0,0,0,0,0,0,0,4,266
118,118,"4/19/21 14:38",1,10,1,0,1,-119.6926353,35.0647591,NA,NA,"AS10PE12",2,1,1,2.9,1.117,76,NA,"S","P","E",1,"S10","S10PE1","S10PE1","S10","PE",1,1,2.9,1.117,79,NA,"4/19/21 14:38",14,38,14.63333333,"Spring",NA,NA,NA,NA,39.46,NA,NA,1,0,"S1001","JTMR011N",0,0,234,0,0,0,0,0,0,18,0,0,29,62,0,359,0,7068,0,7,0,0,0,0,14,17,0,0,0,0,5312,40,2269,0,0,23,12,0,0,0,283,0,0,1047,0,5,0,0,43,0,4,0,0,0,0,0,0,0,0,0,0,2557,38,0,360,0,0,0,0,10729,0,0,0,0,0,0,0,1998,0,333,0,0,0,895,0,0,19,0,0,0,0,0,70,0,102,0,0,0,0,0,0,101,0,0,0,0,30,0,0,0,0,0,0,370
119,119,"4/19/21 15:52",1,7,1,1,1,-119.6555894,35.08361336,NA,NA,"AS07PN12",2,0,0,3.2,1.121,77,7,"S","P","N",1,"S07","S07PN1","S07PN1","S07","PN",0,0,2.8,1.111,80,7,"4/19/21 15:52",15,52,15.86666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S711","JTMR011U",0,0,6008,0,0,0,0,0,0,16,0,0,0,2025,0,1696,0,1444,0,0,0,0,0,4,259,0,0,0,0,0,1887,802,18,0,0,0,126,0,0,0,1339,0,0,525,0,0,219,0,0,3,23,0,0,0,0,113,0,0,0,0,0,63,87,0,2356,0,0,0,0,31129,2,193,23,0,0,0,0,7250,0,171,5,3,0,583,0,0,507,0,17,0,0,0,150,0,1304,0,0,65,0,7,0,2792,0,60,0,0,42,0,0,0,5,0,0,54
120,120,"4/19/21 16:10",1,7,0,1,1,-119.6556631,35.08355597,NA,NA,"AS07SE12",2,0,0,2.5,1.105,79,7,"S","S","N",1,"S07","S07SN1","S07SE1","S07","SN",0,0,7.8,1.212,82,7,"4/19/21 16:10",16,10,16.16666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S711","JTMR010F",0,0,181,0,0,0,75,0,0,147,0,0,336,1748,0,2386,14,1566,0,3,0,0,0,7,1103,0,0,3,0,0,668,2465,0,0,0,788,51,0,0,36,4424,0,0,546,0,0,484,0,0,0,0,0,0,0,513,8,0,0,0,0,67,107,600,0,4625,0,0,0,0,30435,0,122,19,0,0,0,0,5991,0,254,0,15,0,188,0,0,582,0,0,0,0,0,582,922,2954,0,25,55,0,20,0,3149,97,0,0,0,206,0,0,0,8,0,0,2570
